Model,Dataset,Predicted Probability
Logistic Basic,Train,0.0016630334017344677
Logistic Basic,Train,0.008393036225780883
Logistic Basic,Train,0.02337767683819489
Logistic Basic,Train,0.010408276048101154
Logistic Basic,Train,0.001602053924062941
Logistic Basic,Train,0.014764611397583585
Logistic Basic,Train,0.009556461185222636
Logistic Basic,Train,0.17594058592491676
Logistic Basic,Train,0.0036056200010719562
Logistic Basic,Train,0.029763958947841777
Logistic Basic,Train,0.04935489293126291
Logistic Basic,Train,0.004880705746503995
Logistic Basic,Train,0.016079559929622546
Logistic Basic,Train,0.0006665932298562889
Logistic Basic,Train,0.009251806871857844
Logistic Basic,Train,0.1538865083552614
Logistic Basic,Train,0.010026285320060477
Logistic Basic,Train,0.007300786008940704
Logistic Basic,Train,0.046281685304644944
Logistic Basic,Train,0.08147755162523013
Logistic Basic,Train,0.022147055296399102
Logistic Basic,Train,0.0013196884833118231
Logistic Basic,Train,0.006377157957632249
Logistic Basic,Train,0.024022699501910418
Logistic Basic,Train,0.1294884556790912
Logistic Basic,Train,0.014907762354446547
Logistic Basic,Train,0.025835208339535412
Logistic Basic,Train,0.13930698992288335
Logistic Basic,Train,0.04882652070076944
Logistic Basic,Train,0.07127409213415771
Logistic Basic,Train,0.04343004623487825
Logistic Basic,Train,0.01116549234551738
Logistic Basic,Train,0.0015724566498303662
Logistic Basic,Train,0.0688857322680405
Logistic Basic,Train,0.011690605904069503
Logistic Basic,Train,0.003936574832996424
Logistic Basic,Train,0.001944160900544283
Logistic Basic,Train,0.012327343685582855
Logistic Basic,Train,0.035155243066924635
Logistic Basic,Train,0.058745627937967275
Logistic Basic,Train,0.06510083358843846
Logistic Basic,Train,0.0070955591228332145
Logistic Basic,Train,0.08748760717313128
Logistic Basic,Train,0.0077892838405173755
Logistic Basic,Train,0.002926632393936647
Logistic Basic,Train,0.037581878221622504
Logistic Basic,Train,0.003128002747493573
Logistic Basic,Train,0.003343506071858081
Logistic Basic,Train,0.0031153358524869624
Logistic Basic,Train,0.015182115291322114
Logistic Basic,Train,0.0178020150263161
Logistic Basic,Train,0.033147663833518436
Logistic Basic,Train,0.08213546326223724
Logistic Basic,Train,0.012676726147332187
Logistic Basic,Train,0.0010896894494852498
Logistic Basic,Train,0.011819877004751735
Logistic Basic,Train,0.024022699501910418
Logistic Basic,Train,0.006190101009882785
Logistic Basic,Train,0.10518946476986026
Logistic Basic,Train,0.0012653766717918896
Logistic Basic,Train,0.04300463801045778
Logistic Basic,Train,0.0034850692937259584
Logistic Basic,Train,0.09428785269574588
Logistic Basic,Train,0.0007344334034001172
Logistic Basic,Train,0.0013975135353746478
Logistic Basic,Train,0.07009388548275611
Logistic Basic,Train,0.0033581615701868167
Logistic Basic,Train,0.0012924507631553758
Logistic Basic,Train,0.008738504933906727
Logistic Basic,Train,0.004457344326458606
Logistic Basic,Train,0.03999518858712764
Logistic Basic,Train,0.004463434012900282
Logistic Basic,Train,0.02487175353900072
Logistic Basic,Train,0.18567221622677424
Logistic Basic,Train,0.007450059440530926
Logistic Basic,Train,0.020205269291201478
Logistic Basic,Train,0.0035051789536259177
Logistic Basic,Train,0.02148549138735265
Logistic Basic,Train,0.031095522886351402
Logistic Basic,Train,0.15137516177786084
Logistic Basic,Train,0.0010342492905221884
Logistic Basic,Train,0.0391764602520315
Logistic Basic,Train,0.0013432090104260619
Logistic Basic,Train,0.023350362552632797
Logistic Basic,Train,0.049821910654137554
Logistic Basic,Train,0.12098062553881814
Logistic Basic,Train,0.04300463801045778
Logistic Basic,Train,0.040917728250496034
Logistic Basic,Train,0.03865613412853444
Logistic Basic,Train,0.013257943821371961
Logistic Basic,Train,0.033903933324423895
Logistic Basic,Train,0.020804064674632756
Logistic Basic,Train,0.05708334371526046
Logistic Basic,Train,0.03328278065528098
Logistic Basic,Train,0.08972975992889115
Logistic Basic,Train,0.02752687765537454
Logistic Basic,Train,0.010811571330328774
Logistic Basic,Train,0.019979112344784312
Logistic Basic,Train,0.009312264602621826
Logistic Basic,Train,0.1496657050627626
Logistic Basic,Train,0.016683436551618278
Logistic Basic,Train,0.0020696523887258826
Logistic Basic,Train,0.014199311861925294
Logistic Basic,Train,0.09075588328938589
Logistic Basic,Train,0.003952345188451378
Logistic Basic,Train,0.014482305242355055
Logistic Basic,Train,0.006543906789423753
Logistic Basic,Train,0.005308255670296448
Logistic Basic,Train,0.008662870427293069
Logistic Basic,Train,0.006257270132155001
Logistic Basic,Train,0.03416242039089226
Logistic Basic,Train,0.04435630906054232
Logistic Basic,Train,0.0014864765169556305
Logistic Basic,Train,0.008311285764422647
Logistic Basic,Train,0.001393737254813154
Logistic Basic,Train,0.008770576610983311
Logistic Basic,Train,0.05372080268140397
Logistic Basic,Train,0.1479834561497832
Logistic Basic,Train,0.008825618490210279
Logistic Basic,Train,0.009238687087744972
Logistic Basic,Train,0.07736574645499619
Logistic Basic,Train,0.001963353435225656
Logistic Basic,Train,0.026642319998941937
Logistic Basic,Train,0.040852069064599546
Logistic Basic,Train,0.08745235059828507
Logistic Basic,Train,0.031151369723503113
Logistic Basic,Train,0.0017592080708765333
Logistic Basic,Train,0.005351923148947702
Logistic Basic,Train,0.03181861113639694
Logistic Basic,Train,0.06824852194946365
Logistic Basic,Train,0.030092045178199772
Logistic Basic,Train,0.015700025950682144
Logistic Basic,Train,0.01199070313460392
Logistic Basic,Train,0.014103053659825227
Logistic Basic,Train,0.015827608629981272
Logistic Basic,Train,0.007483845126988683
Logistic Basic,Train,0.1736169948159237
Logistic Basic,Train,0.008175999564538718
Logistic Basic,Train,0.1045351861282711
Logistic Basic,Train,0.10494031913023227
Logistic Basic,Train,0.017130048710589964
Logistic Basic,Train,0.014317342461830713
Logistic Basic,Train,0.01692426356556724
Logistic Basic,Train,0.013151248665155128
Logistic Basic,Train,0.03009675312468902
Logistic Basic,Train,0.022421203936518537
Logistic Basic,Train,0.012559046400863196
Logistic Basic,Train,0.043005279200838596
Logistic Basic,Train,0.0024150720433033877
Logistic Basic,Train,0.005015268790379294
Logistic Basic,Train,0.0031838471105736757
Logistic Basic,Train,0.0069053086083969714
Logistic Basic,Train,0.009679817589692491
Logistic Basic,Train,0.01582571698511104
Logistic Basic,Train,0.022628510578859902
Logistic Basic,Train,0.05510208831380237
Logistic Basic,Train,0.023992173382691755
Logistic Basic,Train,0.0005835998165905341
Logistic Basic,Train,0.009166553125685406
Logistic Basic,Train,0.015597934551457028
Logistic Basic,Train,0.012305095916901446
Logistic Basic,Train,0.027854951061842628
Logistic Basic,Train,0.007792544908094497
Logistic Basic,Train,0.00635395308344473
Logistic Basic,Train,0.0015739800885634584
Logistic Basic,Train,0.05302524142760826
Logistic Basic,Train,0.08748429250216508
Logistic Basic,Train,0.0024508913306816585
Logistic Basic,Train,0.010037028360790502
Logistic Basic,Train,0.05131188135730994
Logistic Basic,Train,0.03323788279342035
Logistic Basic,Train,0.03539775523908142
Logistic Basic,Train,0.012056701429476666
Logistic Basic,Train,0.01652678457320269
Logistic Basic,Train,0.01143347666711483
Logistic Basic,Train,0.0038272356307765903
Logistic Basic,Train,0.0041999896448516654
Logistic Basic,Train,0.03305196420071618
Logistic Basic,Train,0.04109175795812727
Logistic Basic,Train,0.06021508387450667
Logistic Basic,Train,0.012013362017385409
Logistic Basic,Train,0.057345182623101655
Logistic Basic,Train,0.039475247815264757
Logistic Basic,Train,0.05358932531929975
Logistic Basic,Train,0.005572636726155501
Logistic Basic,Train,0.002951853632128735
Logistic Basic,Train,0.014346288230043526
Logistic Basic,Train,0.018929921422710088
Logistic Basic,Train,0.11070455181675905
Logistic Basic,Train,0.05903644003792572
Logistic Basic,Train,0.003389050464476955
Logistic Basic,Train,0.20580049363433528
Logistic Basic,Train,0.008714868990294082
Logistic Basic,Train,0.013564260976621867
Logistic Basic,Train,0.16434159190193692
Logistic Basic,Train,0.00042198127999032225
Logistic Basic,Train,0.013090220790836112
Logistic Basic,Train,0.12389907523818991
Logistic Basic,Train,0.006177680013327023
Logistic Basic,Train,0.05402322138386247
Logistic Basic,Train,0.0026837873988866424
Logistic Basic,Train,0.0011810944758287052
Logistic Basic,Train,0.00040014145476852884
Logistic Basic,Train,0.01808076561452677
Logistic Basic,Train,0.029967405776605418
Logistic Basic,Train,0.028681539611409124
Logistic Basic,Train,0.004586315242481752
Logistic Basic,Train,0.002055233311552682
Logistic Basic,Train,0.003277988401764973
Logistic Basic,Train,0.00564572117524668
Logistic Basic,Train,0.018243356611474828
Logistic Basic,Train,0.011031998948606542
Logistic Basic,Train,0.006568032526136305
Logistic Basic,Train,0.004654479053145925
Logistic Basic,Train,0.03282357165704445
Logistic Basic,Train,0.009625084625096869
Logistic Basic,Train,0.014028047632666072
Logistic Basic,Train,0.00466823433198589
Logistic Basic,Train,0.0844394630581625
Logistic Basic,Train,0.0050746276727451686
Logistic Basic,Train,0.0036895696009825655
Logistic Basic,Train,0.008774997089884492
Logistic Basic,Train,0.015034285949013501
Logistic Basic,Train,0.11729726888243663
Logistic Basic,Train,0.013347180788135382
Logistic Basic,Train,0.021995915485345675
Logistic Basic,Train,0.05625356130732561
Logistic Basic,Train,0.23754532613633572
Logistic Basic,Train,0.03710045009234856
Logistic Basic,Train,0.005698608139518594
Logistic Basic,Train,0.0777931569595206
Logistic Basic,Train,0.03425050849852561
Logistic Basic,Train,0.0009640163376560766
Logistic Basic,Train,0.0011347018424151978
Logistic Basic,Train,0.21990499482371953
Logistic Basic,Train,0.009898776990719215
Logistic Basic,Train,0.001148117420922582
Logistic Basic,Train,0.0008492675425494374
Logistic Basic,Train,0.002102877806213072
Logistic Basic,Train,0.14298469260538302
Logistic Basic,Train,0.007583559424617055
Logistic Basic,Train,0.008075322305267004
Logistic Basic,Train,0.01725537323955343
Logistic Basic,Train,0.004157578094839393
Logistic Basic,Train,0.02345861297940401
Logistic Basic,Train,0.011464165055125493
Logistic Basic,Train,0.0014013647915431832
Logistic Basic,Train,0.024027905779399453
Logistic Basic,Train,0.014936438846698387
Logistic Basic,Train,0.20356632099273797
Logistic Basic,Train,0.06693964436663992
Logistic Basic,Train,0.02381792107142491
Logistic Basic,Train,0.00729105133214823
Logistic Basic,Train,0.0011381500187835573
Logistic Basic,Train,0.010872878859841794
Logistic Basic,Train,0.02656416117530599
Logistic Basic,Train,0.03203108599846423
Logistic Basic,Train,0.028317511207540145
Logistic Basic,Train,0.0052133111758485935
Logistic Basic,Train,0.3504926158468487
Logistic Basic,Train,0.00262895945040526
Logistic Basic,Train,0.0009903147644683516
Logistic Basic,Train,0.03770044376151066
Logistic Basic,Train,0.0015720450150164846
Logistic Basic,Train,0.0016933237241370282
Logistic Basic,Train,0.05259714220274784
Logistic Basic,Train,0.004953330080110456
Logistic Basic,Train,0.0035076031905374168
Logistic Basic,Train,0.0332643084281614
Logistic Basic,Train,0.10719160869088587
Logistic Basic,Train,0.004142095424063874
Logistic Basic,Train,0.002471529996482252
Logistic Basic,Train,0.005549585451859175
Logistic Basic,Train,0.0014504916165070086
Logistic Basic,Train,0.0060031480688287255
Logistic Basic,Train,0.051404003592770385
Logistic Basic,Train,0.017368614845499127
Logistic Basic,Train,0.0027386364649134645
Logistic Basic,Train,0.016214188594909952
Logistic Basic,Train,0.005313087660005799
Logistic Basic,Train,0.006150227137293615
Logistic Basic,Train,0.002239780364299818
Logistic Basic,Train,0.00508521501071213
Logistic Basic,Train,0.03349639220987704
Logistic Basic,Train,0.009874982477379194
Logistic Basic,Train,0.00761730147280554
Logistic Basic,Train,0.023740791265645173
Logistic Basic,Train,0.20738035468229984
Logistic Basic,Train,0.001070206664036338
Logistic Basic,Train,0.0013975135353746478
Logistic Basic,Train,0.010089622204014074
Logistic Basic,Train,0.04602091377373415
Logistic Basic,Train,0.0012022191933111328
Logistic Basic,Train,0.01871013383064092
Logistic Basic,Train,0.010617036682783335
Logistic Basic,Train,0.0012382715213296992
Logistic Basic,Train,0.04013770926974675
Logistic Basic,Train,0.007606208904191439
Logistic Basic,Train,0.027012999375442548
Logistic Basic,Train,0.010050482333273571
Logistic Basic,Train,0.03863173891362845
Logistic Basic,Train,0.00798984123192581
Logistic Basic,Train,0.027387540227289786
Logistic Basic,Train,0.004268825384518042
Logistic Basic,Train,0.03137015629361018
Logistic Basic,Train,0.007299548571931562
Logistic Basic,Train,0.02084937336256559
Logistic Basic,Train,0.09534887288746619
Logistic Basic,Train,0.029605234286185333
Logistic Basic,Train,0.0019157521238065659
Logistic Basic,Train,0.016117614098986568
Logistic Basic,Train,0.03143429052309595
Logistic Basic,Train,0.02535656357136532
Logistic Basic,Train,0.03984979214353986
Logistic Basic,Train,0.0069453815589791655
Logistic Basic,Train,0.03282357165704445
Logistic Basic,Train,0.03678461801031273
Logistic Basic,Train,0.0064852471753488765
Logistic Basic,Train,0.004830649206162241
Logistic Basic,Train,0.009163569208676038
Logistic Basic,Train,0.0055958280432278
Logistic Basic,Train,0.007614235808147019
Logistic Basic,Train,0.0028885987395640116
Logistic Basic,Train,0.0030052397501834746
Logistic Basic,Train,0.014417903761921131
Logistic Basic,Train,0.002251441285678681
Logistic Basic,Train,0.00825792308503809
Logistic Basic,Train,0.02949280707517779
Logistic Basic,Train,0.05018457387401506
Logistic Basic,Train,0.05131188135730994
Logistic Basic,Train,0.01259888271057525
Logistic Basic,Train,0.014514290605860132
Logistic Basic,Train,0.0020789171341157697
Logistic Basic,Train,0.01565118668494504
Logistic Basic,Train,0.006487526258744396
Logistic Basic,Train,0.013530724791480892
Logistic Basic,Train,0.007819627766970006
Logistic Basic,Train,0.05749632216219689
Logistic Basic,Train,0.004985165511209457
Logistic Basic,Train,0.0036847907405313817
Logistic Basic,Train,0.022034915187579246
Logistic Basic,Train,0.002337970431426047
Logistic Basic,Train,0.010357518539898698
Logistic Basic,Train,0.0027756513220774446
Logistic Basic,Train,0.024241619646527397
Logistic Basic,Train,0.10198824275001167
Logistic Basic,Train,0.0052404224586198095
Logistic Basic,Train,0.0797060060502222
Logistic Basic,Train,0.040428771394370365
Logistic Basic,Train,0.03329033527442558
Logistic Basic,Train,0.03478495169888127
Logistic Basic,Train,0.0011318898070389826
Logistic Basic,Train,0.07253143062722789
Logistic Basic,Train,0.0008177526163672125
Logistic Basic,Train,0.02066405466270299
Logistic Basic,Train,0.04913309866256969
Logistic Basic,Train,0.0003280995179885565
Logistic Basic,Train,0.01401265519597003
Logistic Basic,Train,0.003946159980863697
Logistic Basic,Train,0.04755651015867299
Logistic Basic,Train,0.0011504299050428635
Logistic Basic,Train,0.010475872738396641
Logistic Basic,Train,0.005999088998719939
Logistic Basic,Train,0.007902549751450258
Logistic Basic,Train,0.0018640365009320323
Logistic Basic,Train,0.0221659424047429
Logistic Basic,Train,0.0027479430830651278
Logistic Basic,Train,0.005939103075377981
Logistic Basic,Train,0.0034239697755705386
Logistic Basic,Train,0.0017790560106662814
Logistic Basic,Train,0.027921676742172486
Logistic Basic,Train,0.0436985079055711
Logistic Basic,Train,0.023178319908517955
Logistic Basic,Train,0.014109671316979006
Logistic Basic,Train,0.037524640267122863
Logistic Basic,Train,0.1496657050627626
Logistic Basic,Train,0.001515349008633063
Logistic Basic,Train,0.006964318284551154
Logistic Basic,Train,0.010190007463093271
Logistic Basic,Train,0.0024593175375269265
Logistic Basic,Train,0.0005334741349572807
Logistic Basic,Train,0.0081401910685856
Logistic Basic,Train,0.019183842260606026
Logistic Basic,Train,0.08436863600516312
Logistic Basic,Train,0.0662564934455874
Logistic Basic,Train,0.014281550025721887
Logistic Basic,Train,0.04442780664259059
Logistic Basic,Train,0.006535212808790386
Logistic Basic,Train,0.0717980365630853
Logistic Basic,Train,0.006386279820734144
Logistic Basic,Train,0.0027900570767970838
Logistic Basic,Train,0.3157884406493283
Logistic Basic,Train,0.07293553893731275
Logistic Basic,Train,0.02533465426414111
Logistic Basic,Train,0.011339915431261744
Logistic Basic,Train,0.0010685079678012196
Logistic Basic,Train,0.025657644674118008
Logistic Basic,Train,0.005619106166671649
Logistic Basic,Train,0.0027756513220774446
Logistic Basic,Train,0.009427610604920105
Logistic Basic,Train,0.13268126283662499
Logistic Basic,Train,0.012917512196780792
Logistic Basic,Train,0.009743561384834402
Logistic Basic,Train,0.0022405089873043745
Logistic Basic,Train,0.007163221662325709
